date,type,symbol,quantity,price,amount,account
2022-01-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-01-15,BUY,DEMO-VOO,1.2287,406.95,500.02,Demo Roth IRA
2022-01-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2022-01-15,BUY,DEMO-VTI,2.0182,222.97,450.0,Demo Taxable Brokerage
2022-01-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2022-02-15,BUY,DEMO-VOO,1.6079,398.04,640.01,Demo 401k
2022-02-15,BUY,DEMO-BND,1.9775,80.91,160.0,Demo 401k
2022-02-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-02-15,BUY,DEMO-VOO,1.2562,398.04,500.02,Demo Roth IRA
2022-02-15,BUY,DEMO-VOO,0.0812,398.04,32.32,Demo Roth IRA
2022-02-15,BUY,DEMO-V,0.0437,221.1,9.66,Demo Roth IRA
2022-02-15,BUY,DEMO-MA,0.0313,351.03,10.99,Demo Roth IRA
2022-02-15,BUY,DEMO-PEP,0.1625,170.25,27.67,Demo Roth IRA
2022-02-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2022-02-15,DIVIDEND,DEMO-VOO,0,0,32.34,Demo Roth IRA
2022-02-15,DIVIDEND,DEMO-V,0,0,9.67,Demo Roth IRA
2022-02-15,DIVIDEND,DEMO-MA,0,0,10.97,Demo Roth IRA
2022-02-15,DIVIDEND,DEMO-PEP,0,0,27.67,Demo Roth IRA
2022-02-15,BUY,DEMO-VTI,2.0691,217.49,450.01,Demo Taxable Brokerage
2022-02-15,BUY,DEMO-VTI,0.14,217.49,30.45,Demo Taxable Brokerage
2022-02-15,BUY,DEMO-JPM,0.24,155.78,37.39,Demo Taxable Brokerage
2022-02-15,BUY,DEMO-HD,0.22,320.54,70.52,Demo Taxable Brokerage
2022-02-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-VTI,0,0,30.45,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-JNJ,0,0,45.98,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-PG,0,0,34.64,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-KO,0,0,17.24,Demo Taxable Brokerage
2022-02-15,REINVESTMENT,DEMO-KO,0.29993,57.48,17.24,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-XOM,0,0,18.38,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-CVX,0,0,33.83,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-JPM,0,0,37.39,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-HD,0,0,70.52,Demo Taxable Brokerage
2022-02-15,DIVIDEND,DEMO-WMT,0,0,6.95,Demo Taxable Brokerage
2022-03-15,BUY,DEMO-VOO,1.6212,394.78,640.02,Demo 401k
2022-03-15,BUY,DEMO-BND,1.9375,82.58,160.0,Demo 401k
2022-03-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-03-15,BUY,DEMO-VOO,1.2665,394.78,499.99,Demo Roth IRA
2022-03-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2022-03-15,BUY,DEMO-VTI,2.1228,211.98,449.99,Demo Taxable Brokerage
2022-03-15,BUY,DEMO-AAPL,16.6047,150.56,2500.0,Demo Taxable Brokerage
2022-03-15,BUY,DEMO-PG,16.9216,147.74,2500.0,Demo Taxable Brokerage
2022-03-15,DEPOSIT,,0,0,5500.0,Demo Taxable Brokerage
2022-04-15,BUY,DEMO-VOO,1.6026,399.36,640.01,Demo 401k
2022-04-15,BUY,DEMO-BND,1.8964,84.37,160.0,Demo 401k
2022-04-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-04-15,BUY,DEMO-VOO,1.252,399.36,500.0,Demo Roth IRA
2022-04-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2022-04-15,BUY,DEMO-VTI,2.1562,208.7,450.0,Demo Taxable Brokerage
2022-04-15,BUY,DEMO-JNJ,14.54,171.94,2500.01,Demo Taxable Brokerage
2022-04-15,DEPOSIT,,0,0,3000.0,Demo Taxable Brokerage
2022-05-15,BUY,DEMO-VOO,1.5552,411.51,639.98,Demo 401k
2022-05-15,BUY,DEMO-BND,1.8716,85.49,160.0,Demo 401k
2022-05-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-05-15,BUY,DEMO-VOO,1.215,411.51,499.98,Demo Roth IRA
2022-05-15,BUY,DEMO-VOO,0.0813,411.51,33.46,Demo Roth IRA
2022-05-15,BUY,DEMO-V,0.0437,243.28,10.63,Demo Roth IRA
2022-05-15,BUY,DEMO-MA,0.0312,396.64,12.38,Demo Roth IRA
2022-05-15,BUY,DEMO-PEP,0.1625,165.57,26.91,Demo Roth IRA
2022-05-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2022-05-15,DIVIDEND,DEMO-VOO,0,0,33.44,Demo Roth IRA
2022-05-15,DIVIDEND,DEMO-V,0,0,10.64,Demo Roth IRA
2022-05-15,DIVIDEND,DEMO-MA,0,0,12.39,Demo Roth IRA
2022-05-15,DIVIDEND,DEMO-PEP,0,0,26.91,Demo Roth IRA
2022-05-15,BUY,DEMO-VTI,2.1506,209.24,449.99,Demo Taxable Brokerage
2022-05-15,BUY,DEMO-JPM,13.8412,180.62,2500.0,Demo Taxable Brokerage
2022-05-15,BUY,DEMO-VTI,0.14,209.24,29.29,Demo Taxable Brokerage
2022-05-15,BUY,DEMO-JPM,0.24,180.62,43.35,Demo Taxable Brokerage
2022-05-15,BUY,DEMO-HD,0.22,360.23,79.25,Demo Taxable Brokerage
2022-05-15,DEPOSIT,,0,0,3000.0,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-VTI,0,0,29.29,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-JNJ,0,0,49.5,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-PG,0,0,37.08,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-KO,0,0,16.94,Demo Taxable Brokerage
2022-05-15,REINVESTMENT,DEMO-KO,0.299982,56.47,16.94,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-XOM,0,0,21.54,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-CVX,0,0,42.02,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-JPM,0,0,43.35,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-HD,0,0,79.25,Demo Taxable Brokerage
2022-05-15,DIVIDEND,DEMO-WMT,0,0,6.82,Demo Taxable Brokerage
2022-06-15,BUY,DEMO-VOO,1.4934,428.55,640.0,Demo 401k
2022-06-15,BUY,DEMO-BND,1.8713,85.5,160.0,Demo 401k
2022-06-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-06-15,BUY,DEMO-VOO,1.1667,428.55,499.99,Demo Roth IRA
2022-06-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2022-06-15,BUY,DEMO-VTI,2.1029,213.99,450.0,Demo Taxable Brokerage
2022-06-15,BUY,DEMO-KO,43.305,57.73,2500.0,Demo Taxable Brokerage
2022-06-15,DEPOSIT,,0,0,3000.0,Demo Taxable Brokerage
2022-07-15,BUY,DEMO-VOO,1.4344,446.17,639.99,Demo 401k
2022-07-15,BUY,DEMO-BND,1.8948,84.44,160.0,Demo 401k
2022-07-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-07-15,BUY,DEMO-VOO,1.1206,446.17,499.98,Demo Roth IRA
2022-07-15,BUY,DEMO-MA,2.9104,412.31,1199.99,Demo Roth IRA
2022-07-15,DEPOSIT,,0,0,1700.0,Demo Roth IRA
2022-07-15,BUY,DEMO-VTI,2.0269,222.01,449.99,Demo Taxable Brokerage
2022-07-15,BUY,DEMO-MSFT,7.1249,350.88,2499.98,Demo Taxable Brokerage
2022-07-15,BUY,DEMO-HD,7.1144,351.4,2500.0,Demo Taxable Brokerage
2022-07-15,BUY,DEMO-WMT,48.5154,51.53,2500.0,Demo Taxable Brokerage
2022-07-15,DEPOSIT,,0,0,8000.0,Demo Taxable Brokerage
2022-08-15,BUY,DEMO-VOO,1.3917,459.86,639.99,Demo 401k
2022-08-15,BUY,DEMO-BND,1.9307,82.87,160.0,Demo 401k
2022-08-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-08-15,BUY,DEMO-VOO,1.0873,459.86,500.01,Demo Roth IRA
2022-08-15,BUY,DEMO-NVDA,4.0602,295.55,1199.99,Demo Roth IRA
2022-08-15,BUY,DEMO-VOO,0.0812,459.86,37.34,Demo Roth IRA
2022-08-15,BUY,DEMO-V,0.0437,260.91,11.4,Demo Roth IRA
2022-08-15,BUY,DEMO-MA,0.0312,407.46,12.71,Demo Roth IRA
2022-08-15,BUY,DEMO-PEP,0.1625,174.68,28.39,Demo Roth IRA
2022-08-15,DEPOSIT,,0,0,1700.0,Demo Roth IRA
2022-08-15,DIVIDEND,DEMO-VOO,0,0,37.36,Demo Roth IRA
2022-08-15,DIVIDEND,DEMO-V,0,0,11.41,Demo Roth IRA
2022-08-15,DIVIDEND,DEMO-MA,0,0,12.73,Demo Roth IRA
2022-08-15,DIVIDEND,DEMO-PEP,0,0,28.39,Demo Roth IRA
2022-08-15,BUY,DEMO-VTI,1.9456,231.29,450.0,Demo Taxable Brokerage
2022-08-15,BUY,DEMO-VTI,0.14,231.29,32.38,Demo Taxable Brokerage
2022-08-15,BUY,DEMO-JPM,0.24,160.15,38.44,Demo Taxable Brokerage
2022-08-15,BUY,DEMO-HD,0.22,338.93,74.56,Demo Taxable Brokerage
2022-08-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-VTI,0,0,32.38,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-JNJ,0,0,51.15,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-PG,0,0,37.29,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-KO,0,0,18.25,Demo Taxable Brokerage
2022-08-15,REINVESTMENT,DEMO-KO,0.300016,60.83,18.25,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-XOM,0,0,24.81,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-CVX,0,0,42.93,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-JPM,0,0,38.44,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-HD,0,0,74.56,Demo Taxable Brokerage
2022-08-15,DIVIDEND,DEMO-WMT,0,0,7.48,Demo Taxable Brokerage
2022-09-15,BUY,DEMO-VOO,1.3726,466.27,640.0,Demo 401k
2022-09-15,BUY,DEMO-BND,1.961,81.59,160.0,Demo 401k
2022-09-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-09-15,BUY,DEMO-VOO,1.0723,466.27,499.98,Demo Roth IRA
2022-09-15,BUY,DEMO-META,2.7249,440.38,1199.99,Demo Roth IRA
2022-09-15,DEPOSIT,,0,0,1700.0,Demo Roth IRA
2022-09-15,BUY,DEMO-VTI,1.8796,239.41,450.0,Demo Taxable Brokerage
2022-09-15,BUY,DEMO-AMZN,12.8475,194.59,2500.0,Demo Taxable Brokerage
2022-09-15,BUY,DEMO-XOM,35.5215,70.38,2500.0,Demo Taxable Brokerage
2022-09-15,DEPOSIT,,0,0,5500.0,Demo Taxable Brokerage
2022-10-15,BUY,DEMO-VOO,1.3783,464.34,640.0,Demo 401k
2022-10-15,BUY,DEMO-BND,1.9687,81.27,160.0,Demo 401k
2022-10-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-10-15,BUY,DEMO-VOO,1.0768,464.34,500.0,Demo Roth IRA
2022-10-15,BUY,DEMO-UNH,2.9995,400.07,1200.01,Demo Roth IRA
2022-10-15,BUY,DEMO-COST,2.3784,504.54,1200.0,Demo Roth IRA
2022-10-15,BUY,DEMO-PEP,6.6076,181.61,1200.01,Demo Roth IRA
2022-10-15,BUY,DEMO-TSLA,4.8664,246.59,1200.01,Demo Roth IRA
2022-10-15,DEPOSIT,,0,0,5300.0,Demo Roth IRA
2022-10-15,BUY,DEMO-VTI,1.8422,244.27,449.99,Demo Taxable Brokerage
2022-10-15,BUY,DEMO-CVX,24.5242,101.94,2500.0,Demo Taxable Brokerage
2022-10-15,DEPOSIT,,0,0,3000.0,Demo Taxable Brokerage
2022-11-15,BUY,DEMO-VOO,1.4045,455.69,640.02,Demo 401k
2022-11-15,BUY,DEMO-BND,1.9484,82.12,160.0,Demo 401k
2022-11-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-11-15,BUY,DEMO-VOO,1.0972,455.69,499.98,Demo Roth IRA
2022-11-15,BUY,DEMO-V,4.9281,243.5,1199.99,Demo Roth IRA
2022-11-15,BUY,DEMO-VOO,0.0812,455.69,37.0,Demo Roth IRA
2022-11-15,BUY,DEMO-V,0.0437,243.5,10.64,Demo Roth IRA
2022-11-15,BUY,DEMO-MA,0.0313,381.95,11.96,Demo Roth IRA
2022-11-15,BUY,DEMO-PEP,0.1625,182.88,29.72,Demo Roth IRA
2022-11-15,DEPOSIT,,0,0,1700.0,Demo Roth IRA
2022-11-15,DIVIDEND,DEMO-VOO,0,0,37.02,Demo Roth IRA
2022-11-15,DIVIDEND,DEMO-V,0,0,10.65,Demo Roth IRA
2022-11-15,DIVIDEND,DEMO-MA,0,0,11.94,Demo Roth IRA
2022-11-15,DIVIDEND,DEMO-PEP,0,0,29.72,Demo Roth IRA
2022-11-15,BUY,DEMO-VTI,1.8382,244.8,449.99,Demo Taxable Brokerage
2022-11-15,BUY,DEMO-VTI,0.14,244.8,34.27,Demo Taxable Brokerage
2022-11-15,BUY,DEMO-JPM,0.24,176.51,42.36,Demo Taxable Brokerage
2022-11-15,BUY,DEMO-HD,0.22,328.57,72.29,Demo Taxable Brokerage
2022-11-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-VTI,0,0,34.27,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-JNJ,0,0,48.3,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-PG,0,0,35.68,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-KO,0,0,18.2,Demo Taxable Brokerage
2022-11-15,REINVESTMENT,DEMO-KO,0.300033,60.66,18.2,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-XOM,0,0,19.47,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-CVX,0,0,35.59,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-JPM,0,0,42.36,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-HD,0,0,72.29,Demo Taxable Brokerage
2022-11-15,DIVIDEND,DEMO-WMT,0,0,7.83,Demo Taxable Brokerage
2022-12-15,BUY,DEMO-VOO,1.4411,444.1,639.99,Demo 401k
2022-12-15,BUY,DEMO-BND,1.9089,83.82,160.0,Demo 401k
2022-12-15,DEPOSIT,,0,0,800.0,Demo 401k
2022-12-15,BUY,DEMO-VOO,1.1259,444.1,500.01,Demo Roth IRA
2022-12-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2022-12-15,BUY,DEMO-VTI,1.8649,241.3,450.0,Demo Taxable Brokerage
2022-12-15,BUY,DEMO-GOOGL,17.8597,139.98,2500.0,Demo Taxable Brokerage
2022-12-15,BUY,DEMO-BAC,51.5996,48.45,2500.0,Demo Taxable Brokerage
2022-12-15,BUY,DEMO-DIS,17.0358,146.75,2500.0,Demo Taxable Brokerage
2022-12-15,DEPOSIT,,0,0,8000.0,Demo Taxable Brokerage
2023-01-15,BUY,DEMO-VOO,1.4734,434.38,640.02,Demo 401k
2023-01-15,BUY,DEMO-BND,1.8685,85.63,160.0,Demo 401k
2023-01-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-01-15,BUY,DEMO-VOO,1.1511,434.38,500.01,Demo Roth IRA
2023-01-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2023-01-15,BUY,DEMO-VTI,1.9119,235.37,450.0,Demo Taxable Brokerage
2023-01-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2023-02-15,BUY,DEMO-VOO,1.4855,430.83,640.0,Demo 401k
2023-02-15,BUY,DEMO-BND,1.844,86.77,160.0,Demo 401k
2023-02-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-02-15,BUY,DEMO-VOO,1.1606,430.83,500.02,Demo Roth IRA
2023-02-15,BUY,DEMO-VOO,0.0812,430.83,34.98,Demo Roth IRA
2023-02-15,BUY,DEMO-V,0.0437,253.55,11.08,Demo Roth IRA
2023-02-15,BUY,DEMO-MA,0.0313,417.2,13.06,Demo Roth IRA
2023-02-15,BUY,DEMO-PEP,0.1625,177.06,28.77,Demo Roth IRA
2023-02-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2023-02-15,DIVIDEND,DEMO-VOO,0,0,35.0,Demo Roth IRA
2023-02-15,DIVIDEND,DEMO-V,0,0,11.09,Demo Roth IRA
2023-02-15,DIVIDEND,DEMO-MA,0,0,13.04,Demo Roth IRA
2023-02-15,DIVIDEND,DEMO-PEP,0,0,28.77,Demo Roth IRA
2023-02-15,BUY,DEMO-VTI,1.9616,229.4,449.99,Demo Taxable Brokerage
2023-02-15,BUY,DEMO-VTI,0.14,229.4,32.12,Demo Taxable Brokerage
2023-02-15,BUY,DEMO-JPM,0.24,187.23,44.94,Demo Taxable Brokerage
2023-02-15,BUY,DEMO-HD,0.22,375.04,82.51,Demo Taxable Brokerage
2023-02-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-VTI,0,0,32.12,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-JNJ,0,0,47.36,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-PG,0,0,36.37,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-KO,0,0,17.36,Demo Taxable Brokerage
2023-02-15,REINVESTMENT,DEMO-KO,0.300035,57.86,17.36,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-XOM,0,0,22.82,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-CVX,0,0,44.2,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-JPM,0,0,44.94,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-HD,0,0,82.51,Demo Taxable Brokerage
2023-02-15,DIVIDEND,DEMO-WMT,0,0,7.45,Demo Taxable Brokerage
2023-03-15,BUY,DEMO-VOO,1.4685,435.82,640.0,Demo 401k
2023-03-15,BUY,DEMO-BND,1.8437,86.78,160.0,Demo 401k
2023-03-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-03-15,BUY,DEMO-VOO,1.1473,435.82,500.02,Demo Roth IRA
2023-03-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2023-03-15,BUY,DEMO-VTI,1.9925,225.85,450.01,Demo Taxable Brokerage
2023-03-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2023-04-15,BUY,DEMO-VOO,1.4251,449.09,640.0,Demo 401k
2023-04-15,BUY,DEMO-BND,1.867,85.7,160.0,Demo 401k
2023-04-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-04-15,BUY,DEMO-VOO,1.1134,449.09,500.02,Demo Roth IRA
2023-04-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2023-04-15,BUY,DEMO-VTI,1.9873,226.44,450.0,Demo Taxable Brokerage
2023-04-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2023-05-15,BUY,DEMO-VOO,1.3685,467.67,640.01,Demo 401k
2023-05-15,BUY,DEMO-BND,1.9023,84.11,160.0,Demo 401k
2023-05-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-05-15,BUY,DEMO-VOO,1.0691,467.67,499.99,Demo Roth IRA
2023-05-15,BUY,DEMO-VOO,0.0813,467.67,38.02,Demo Roth IRA
2023-05-15,BUY,DEMO-V,0.0438,283.58,12.42,Demo Roth IRA
2023-05-15,BUY,DEMO-MA,0.0312,453.15,14.14,Demo Roth IRA
2023-05-15,BUY,DEMO-PEP,0.1625,172.2,27.98,Demo Roth IRA
2023-05-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2023-05-15,DIVIDEND,DEMO-VOO,0,0,38.0,Demo Roth IRA
2023-05-15,DIVIDEND,DEMO-V,0,0,12.41,Demo Roth IRA
2023-05-15,DIVIDEND,DEMO-MA,0,0,14.16,Demo Roth IRA
2023-05-15,DIVIDEND,DEMO-PEP,0,0,27.98,Demo Roth IRA
2023-05-15,BUY,DEMO-VTI,1.9432,231.58,450.01,Demo Taxable Brokerage
2023-05-15,BUY,DEMO-VTI,0.14,231.58,32.42,Demo Taxable Brokerage
2023-05-15,BUY,DEMO-JPM,0.24,167.93,40.3,Demo Taxable Brokerage
2023-05-15,BUY,DEMO-HD,0.22,374.68,82.43,Demo Taxable Brokerage
2023-05-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-VTI,0,0,32.42,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-JNJ,0,0,50.99,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-PG,0,0,38.94,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-KO,0,0,18.4,Demo Taxable Brokerage
2023-05-15,REINVESTMENT,DEMO-KO,0.300016,61.33,18.4,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-XOM,0,0,26.28,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-CVX,0,0,45.17,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-JPM,0,0,40.3,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-HD,0,0,82.43,Demo Taxable Brokerage
2023-05-15,DIVIDEND,DEMO-WMT,0,0,7.61,Demo Taxable Brokerage
2023-06-15,BUY,DEMO-VOO,1.3144,486.91,639.99,Demo 401k
2023-06-15,BUY,DEMO-BND,1.9319,82.82,160.0,Demo 401k
2023-06-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-06-15,BUY,DEMO-VOO,1.0269,486.91,500.01,Demo Roth IRA
2023-06-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2023-06-15,BUY,DEMO-VTI,1.873,240.26,450.01,Demo Taxable Brokerage
2023-06-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2023-07-15,BUY,DEMO-VOO,1.2753,501.85,640.01,Demo 401k
2023-07-15,BUY,DEMO-BND,1.9396,82.49,160.0,Demo 401k
2023-07-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-07-15,BUY,DEMO-VOO,0.9963,501.85,499.99,Demo Roth IRA
2023-07-15,DEPOSIT,,0,0,500.0,Demo Roth IRA
2023-07-15,BUY,DEMO-VTI,1.7978,250.3,449.99,Demo Taxable Brokerage
2023-07-15,DEPOSIT,,0,0,500.0,Demo Taxable Brokerage
2023-08-15,BUY,DEMO-VOO,1.2578,508.84,640.02,Demo 401k
2023-08-15,BUY,DEMO-BND,1.9196,83.35,160.0,Demo 401k
2023-08-15,DEPOSIT,,0,0,800.0,Demo 401k
2023-08-15,BUY,DEMO-VOO,0.9826,508.84,499.99,Demo Roth IRA
2023-08-15,BUY,DEMO-VOO,0.0812,508.84,41.32,Demo Roth IRA
2023-08-15,BUY,DEMO-V,0.0437,272.47,11.91,Demo Roth IRA
2023-08-15,BUY,DEMO-MA,0.0313,425.25,13.31,Demo Roth IRA
